Week,Aristotle,SparkNotes
2019-01-06,14,62
2019-01-13,15,76
2019-01-20,16,75
2019-01-27,17,85
2019-02-03,19,97
2019-02-10,18,100
2019-02-17,18,81
2019-02-24,21,99
2019-03-03,16,90
2019-03-10,15,77
2019-03-17,14,85
2019-03-24,16,81
2019-03-31,14,82
2019-04-07,15,90
2019-04-14,14,79
2019-04-21,15,91
2019-04-28,15,99
2019-05-05,15,93
2019-05-12,14,76
2019-05-19,10,64
2019-05-26,10,48
2019-06-02,10,39
2019-06-09,8,22
2019-06-16,9,9
2019-06-23,7,11
2019-06-30,8,14
2019-07-07,8,15
2019-07-14,8,14
2019-07-21,9,16
2019-07-28,7,17
2019-08-04,7,23
2019-08-11,10,38
2019-08-18,12,43
2019-08-25,14,61
2019-09-01,17,74
2019-09-08,22,82
2019-09-15,22,83
2019-09-22,19,84
2019-09-29,23,83
2019-10-06,20,81
2019-10-13,19,69
2019-10-20,21,78
2019-10-27,15,80
2019-11-03,15,88
2019-11-10,17,84
2019-11-17,17,92
2019-11-24,9,36
2019-12-01,15,86
2019-12-08,17,78
2019-12-15,14,53
2019-12-22,5,6
2019-12-29,6,16
2020-01-05,10,52
2020-01-12,13,64
2020-01-19,12,65
2020-01-26,15,77
2020-02-02,16,76
2020-02-09,19,79
2020-02-16,16,70
2020-02-23,17,86
2020-03-01,12,76
2020-03-08,13,64
2020-03-15,10,34
2020-03-22,11,46
2020-03-29,13,56
2020-04-05,11,48
2020-04-12,14,44
2020-04-19,15,55
2020-04-26,16,51
2020-05-03,16,43
2020-05-10,13,38
2020-05-17,9,29
2020-05-24,8,22
2020-05-31,8,18
2020-06-07,10,16
2020-06-14,9,10
2020-06-21,9,9
2020-06-28,8,8
2020-07-05,8,12
2020-07-12,9,10
2020-07-19,10,9
2020-07-26,7,11
2020-08-02,8,14
2020-08-09,8,17
2020-08-16,12,23
2020-08-23,18,30
2020-08-30,20,43
2020-09-06,22,47
2020-09-13,23,53
2020-09-20,22,53
2020-09-27,22,51
2020-10-04,20,46
2020-10-11,17,36
2020-10-18,15,34
2020-10-25,13,34
2020-11-01,10,29
2020-11-08,13,34
2020-11-15,13,34
2020-11-22,8,16
2020-11-29,11,32
2020-12-06,13,28
2020-12-13,12,22
2020-12-20,7,8
2020-12-27,6,5
