Category: All categories

Day,sparknotes: (United States)
2019-08-01,18
2019-08-02,14
2019-08-03,15
2019-08-04,13
2019-08-05,17
2019-08-06,18
2019-08-07,26
2019-08-08,19
2019-08-09,13
2019-08-10,20
2019-08-11,21
2019-08-12,33
2019-08-13,31
2019-08-14,30
2019-08-15,26
2019-08-16,30
2019-08-17,14
2019-08-18,22
2019-08-19,38
2019-08-20,36
2019-08-21,35
2019-08-22,28
2019-08-23,29
2019-08-24,13
2019-08-25,31
2019-08-26,49
2019-08-27,49
2019-08-28,54
2019-08-29,57
2019-08-30,39
2019-08-31,15
2019-09-01,20
2019-09-02,38
2019-09-03,67
2019-09-04,79
2019-09-05,76
2019-09-06,58
2019-09-07,18
2019-09-08,40
2019-09-09,85
2019-09-10,75
2019-09-11,76
2019-09-12,79
2019-09-13,47
2019-09-14,14
2019-09-15,31
2019-09-16,92
2019-09-17,79
2019-09-18,75
2019-09-19,65
2019-09-20,54
2019-09-21,18
2019-09-22,35
2019-09-23,80
2019-09-24,95
2019-09-25,67
2019-09-26,76
2019-09-27,60
2019-09-28,13
2019-09-29,36
2019-09-30,74
2019-10-01,75
2019-10-02,77
2019-10-03,80
2019-10-04,71
2019-10-05,12
2019-10-06,23
2019-10-07,77
2019-10-08,76
2019-10-09,62
2019-10-10,78
2019-10-11,57
2019-10-12,13
2019-10-13,24
2019-10-14,65
2019-10-15,70
2019-10-16,56
2019-10-17,74
2019-10-18,57
2019-10-19,15
2019-10-20,28
2019-10-21,72
2019-10-22,72
2019-10-23,79
2019-10-24,72
2019-10-25,54
2019-10-26,15
2019-10-27,31
2019-10-28,87
2019-10-29,84
2019-10-30,69
2019-10-31,61
2019-11-01,56
2019-11-02,15
2019-11-03,31
2019-11-04,88
2019-11-05,76
2019-11-06,78
2019-11-07,82
2019-11-08,51
2019-11-09,16
2019-11-10,24
2019-11-11,73
2019-11-12,90
2019-11-13,77
2019-11-14,78
2019-11-15,61
2019-11-16,16
2019-11-17,24
2019-11-18,92
2019-11-19,100
2019-11-20,78
2019-11-21,75
2019-11-22,59
2019-11-23,15
2019-11-24,18
2019-11-25,62
2019-11-26,55
2019-11-27,17
2019-11-28,11
2019-11-29,4
2019-11-30,13
2019-12-01,33
2019-12-02,70
2019-12-03,86
2019-12-04,86
2019-12-05,67
2019-12-06,72
2019-12-07,16
2019-12-08,34
2019-12-09,83
2019-12-10,68
2019-12-11,66
2019-12-12,74
2019-12-13,66
2019-12-14,14
2019-12-15,21
2019-12-16,66
2019-12-17,51
2019-12-18,52
2019-12-19,46
2019-12-20,30
2019-12-21,7
2019-12-22,4
2019-12-23,1
2019-12-24,5
2019-12-25,4
2019-12-26,7
2019-12-27,6
2019-12-28,7
2019-12-29,8
2019-12-30,7
2019-12-31,5
