Time,weather
2021-08-14T15:20:00-04:00,38
2021-08-14T15:28:00-04:00,38
2021-08-14T15:36:00-04:00,36
2021-08-14T15:44:00-04:00,37
2021-08-14T15:52:00-04:00,37
2021-08-14T16:00:00-04:00,36
2021-08-14T16:08:00-04:00,36
2021-08-14T16:16:00-04:00,37
2021-08-14T16:24:00-04:00,36
2021-08-14T16:32:00-04:00,36
2021-08-14T16:40:00-04:00,36
2021-08-14T16:48:00-04:00,37
2021-08-14T16:56:00-04:00,35
2021-08-14T17:04:00-04:00,35
2021-08-14T17:12:00-04:00,35
2021-08-14T17:20:00-04:00,35
2021-08-14T17:28:00-04:00,35
2021-08-14T17:36:00-04:00,35
2021-08-14T17:44:00-04:00,34
2021-08-14T17:52:00-04:00,33
2021-08-14T18:00:00-04:00,33
2021-08-14T18:08:00-04:00,33
2021-08-14T18:16:00-04:00,34
2021-08-14T18:24:00-04:00,31
2021-08-14T18:32:00-04:00,31
2021-08-14T18:40:00-04:00,30
2021-08-14T18:48:00-04:00,32
2021-08-14T18:56:00-04:00,30
2021-08-14T19:04:00-04:00,30
2021-08-14T19:12:00-04:00,30
2021-08-14T19:20:00-04:00,30
2021-08-14T19:28:00-04:00,30
2021-08-14T19:36:00-04:00,29
2021-08-14T19:44:00-04:00,29
2021-08-14T19:52:00-04:00,29
2021-08-14T20:00:00-04:00,32
2021-08-14T20:08:00-04:00,33
2021-08-14T20:16:00-04:00,38
2021-08-14T20:24:00-04:00,39
2021-08-14T20:32:00-04:00,39
2021-08-14T20:40:00-04:00,37
2021-08-14T20:48:00-04:00,37
2021-08-14T20:56:00-04:00,37
2021-08-14T21:04:00-04:00,38
2021-08-14T21:12:00-04:00,39
2021-08-14T21:20:00-04:00,39
2021-08-14T21:28:00-04:00,40
2021-08-14T21:36:00-04:00,39
2021-08-14T21:44:00-04:00,39
2021-08-14T21:52:00-04:00,36
2021-08-14T22:00:00-04:00,37
2021-08-14T22:08:00-04:00,38
2021-08-14T22:16:00-04:00,38
2021-08-14T22:24:00-04:00,37
2021-08-14T22:32:00-04:00,35
2021-08-14T22:40:00-04:00,36
2021-08-14T22:48:00-04:00,34
2021-08-14T22:56:00-04:00,34
2021-08-14T23:04:00-04:00,33
2021-08-14T23:12:00-04:00,35
2021-08-14T23:20:00-04:00,36
2021-08-14T23:28:00-04:00,33
