Category: All categories

Month,Final four: (United States)
2004-01,4
2004-02,8
2004-03,38
2004-04,15
2004-05,1
2004-06,2
2004-07,1
2004-08,1
2004-09,1
2004-10,2
2004-11,2
2004-12,4
2005-01,4
2005-02,8
2005-03,43
2005-04,17
2005-05,2
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,3
2005-12,3
2006-01,5
2006-02,7
2006-03,48
2006-04,17
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,2
2006-12,3
2007-01,4
2007-02,6
2007-03,46
2007-04,10
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,<1
2007-10,1
2007-11,3
2007-12,2
2008-01,3
2008-02,4
2008-03,27
2008-04,27
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,2
2008-12,2
2009-01,2
2009-02,4
2009-03,25
2009-04,21
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,2
2010-01,3
2010-02,4
2010-03,32
2010-04,21
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,<1
2010-10,1
2010-11,1
2010-12,2
2011-01,3
2011-02,4
2011-03,39
2011-04,29
2011-05,1
2011-06,2
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,2
2011-12,2
2012-01,2
2012-02,4
2012-03,34
2012-04,13
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,2
2012-12,2
2013-01,3
2013-02,4
2013-03,21
2013-04,48
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,2
2014-02,3
2014-03,27
2014-04,43
2014-05,1
2014-06,1
2014-07,1
2014-08,<1
2014-09,<1
2014-10,1
2014-11,2
2014-12,2
2015-01,2
2015-02,3
2015-03,31
2015-04,57
2015-05,1
2015-06,1
2015-07,<1
2015-08,<1
2015-09,1
2015-10,1
2015-11,1
2015-12,2
2016-01,2
2016-02,2
2016-03,31
2016-04,37
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,2
2017-01,3
2017-02,3
2017-03,53
2017-04,65
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,2
2017-12,2
2018-01,3
2018-02,3
2018-03,55
2018-04,23
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,1
2018-10,1
2018-11,2
2018-12,3
2019-01,3
2019-02,3
2019-03,30
2019-04,100
2019-05,1
2019-06,1
2019-07,1
2019-08,<1
2019-09,1
2019-10,<1
2019-11,1
2019-12,2
2020-01,1
2020-02,2
2020-03,3
2020-04,1
2020-05,<1
2020-06,<1
2020-07,<1
2020-08,<1
2020-09,<1
2020-10,<1
2020-11,1
2020-12,1
2021-01,1
2021-02,1
2021-03,19
2021-04,37
2021-05,1
2021-06,1
2021-07,1
