season,season_end,team,team_abbrev,games_played,points,point_pct
1999-00,2000-04-09,Detroit Red Wings,DET,82,108,0.658537
1999-00,2000-04-09,Tampa Bay Lightning,TBL,82,54,0.329268
1999-00,2000-04-09,Nashville Predators,NSH,82,70,0.426829
1999-00,2000-04-09,Washington Capitals,WSH,82,102,0.621951
1999-00,2000-04-09,Pittsburgh Penguins,PIT,82,88,0.536585
1999-00,2000-04-09,Chicago Blackhawks,CHI,82,78,0.475610
2000-01,2001-04-08,Detroit Red Wings,DET,82,111,0.676829
2000-01,2001-04-08,Tampa Bay Lightning,TBL,82,59,0.359756
2000-01,2001-04-08,Nashville Predators,NSH,82,80,0.487805
2000-01,2001-04-08,Washington Capitals,WSH,82,96,0.585366
2000-01,2001-04-08,Pittsburgh Penguins,PIT,82,96,0.585366
2000-01,2001-04-08,Chicago Blackhawks,CHI,82,71,0.432927
2001-02,2002-04-14,Detroit Red Wings,DET,82,116,0.707317
2001-02,2002-04-14,Tampa Bay Lightning,TBL,82,69,0.420732
2001-02,2002-04-14,Nashville Predators,NSH,82,69,0.420732
2001-02,2002-04-14,Washington Capitals,WSH,82,85,0.518293
2001-02,2002-04-14,Pittsburgh Penguins,PIT,82,69,0.420732
2001-02,2002-04-14,Chicago Blackhawks,CHI,82,96,0.585366
2002-03,2003-04-06,Detroit Red Wings,DET,82,110,0.670732
2002-03,2003-04-06,Tampa Bay Lightning,TBL,82,93,0.567073
2002-03,2003-04-06,Nashville Predators,NSH,82,74,0.451220
2002-03,2003-04-06,Washington Capitals,WSH,82,92,0.560976
2002-03,2003-04-06,Pittsburgh Penguins,PIT,82,65,0.396341
2002-03,2003-04-06,Chicago Blackhawks,CHI,82,79,0.481707
2003-04,2004-04-04,Detroit Red Wings,DET,82,109,0.664634
2003-04,2004-04-04,Tampa Bay Lightning,TBL,82,106,0.646341
2003-04,2004-04-04,Nashville Predators,NSH,82,91,0.554878
2003-04,2004-04-04,Washington Capitals,WSH,82,59,0.359756
2003-04,2004-04-04,Pittsburgh Penguins,PIT,82,58,0.353659
2003-04,2004-04-04,Chicago Blackhawks,CHI,82,59,0.359756
2005-06,2006-04-18,Detroit Red Wings,DET,82,124,0.756098
2005-06,2006-04-18,Tampa Bay Lightning,TBL,82,92,0.560976
2005-06,2006-04-18,Nashville Predators,NSH,82,106,0.646341
2005-06,2006-04-18,Washington Capitals,WSH,82,70,0.426829
2005-06,2006-04-18,Pittsburgh Penguins,PIT,82,58,0.353659
2005-06,2006-04-18,Chicago Blackhawks,CHI,82,65,0.396341
2006-07,2007-04-08,Detroit Red Wings,DET,82,113,0.689024
2006-07,2007-04-08,Tampa Bay Lightning,TBL,82,93,0.567073
2006-07,2007-04-08,Nashville Predators,NSH,82,110,0.670732
2006-07,2007-04-08,Washington Capitals,WSH,82,70,0.426829
2006-07,2007-04-08,Pittsburgh Penguins,PIT,82,105,0.640244
2006-07,2007-04-08,Chicago Blackhawks,CHI,82,71,0.432927
2007-08,2008-04-06,Detroit Red Wings,DET,82,115,0.701220
2007-08,2008-04-06,Tampa Bay Lightning,TBL,82,71,0.432927
2007-08,2008-04-06,Nashville Predators,NSH,82,91,0.554878
2007-08,2008-04-06,Washington Capitals,WSH,82,94,0.573171
2007-08,2008-04-06,Pittsburgh Penguins,PIT,82,102,0.621951
2007-08,2008-04-06,Chicago Blackhawks,CHI,82,88,0.536585
2008-09,2009-04-12,Detroit Red Wings,DET,82,112,0.682927
2008-09,2009-04-12,Tampa Bay Lightning,TBL,82,66,0.402439
2008-09,2009-04-12,Nashville Predators,NSH,82,88,0.536585
2008-09,2009-04-12,Washington Capitals,WSH,82,108,0.658537
2008-09,2009-04-12,Pittsburgh Penguins,PIT,82,99,0.603659
2008-09,2009-04-12,Chicago Blackhawks,CHI,82,104,0.634146
